Date;Start;End;Total (grid load) [MWh] Calculated resolutions;Residual load [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions
Jan 1, 2015;12:00 AM;12:00 AM;1,096,852.75;768,472.25;25,895.5
Jan 2, 2015;12:00 AM;12:00 AM;1,288,914.75;679,205.75;27,225
Jan 3, 2015;12:00 AM;12:00 AM;1,213,309.5;736,911.75;24,694.25
Jan 4, 2015;12:00 AM;12:00 AM;1,177,896;767,345.5;24,441.75
Jan 5, 2015;12:00 AM;12:00 AM;1,425,927.5;1,172,036.25;25,733.25
Jan 6, 2015;12:00 AM;12:00 AM;1,434,875;1,292,393.25;22,292.75
Jan 7, 2015;12:00 AM;12:00 AM;1,548,897;1,310,490;14,963.5
Jan 8, 2015;12:00 AM;12:00 AM;1,573,448.5;1,131,985.25;20,853.5
Jan 9, 2015;12:00 AM;12:00 AM;1,551,795.5;900,819.75;18,492.75
Jan 10, 2015;12:00 AM;12:00 AM;1,330,121.5;679,079.25;21,915.75
Jan 11, 2015;12:00 AM;12:00 AM;1,245,315.5;595,527.5;23,764.75
Jan 12, 2015;12:00 AM;12:00 AM;1,572,223;927,555.25;22,427
Jan 13, 2015;12:00 AM;12:00 AM;1,557,794.25;989,571;16,859
Jan 14, 2015;12:00 AM;12:00 AM;1,554,254.25;1,127,128;21,317
Jan 15, 2015;12:00 AM;12:00 AM;1,580,828.75;1,014,653.75;23,621
Jan 16, 2015;12:00 AM;12:00 AM;1,534,068.75;1,243,796.25;18,762.75
Jan 17, 2015;12:00 AM;12:00 AM;1,329,000.75;1,173,343.75;21,802.5
Jan 18, 2015;12:00 AM;12:00 AM;1,243,108.75;1,080,346.25;22,811.75
Jan 19, 2015;12:00 AM;12:00 AM;1,559,946;1,502,904.25;16,602.75
Jan 20, 2015;12:00 AM;12:00 AM;1,595,471.5;1,567,507;19,047.25
Jan 21, 2015;12:00 AM;12:00 AM;1,594,371.75;1,524,692.25;20,802
Jan 22, 2015;12:00 AM;12:00 AM;1,605,934;1,529,502.5;20,974
Jan 23, 2015;12:00 AM;12:00 AM;1,580,198;1,537,337;19,837
Jan 24, 2015;12:00 AM;12:00 AM;1,391,848.5;1,228,214.75;19,375.75
Jan 25, 2015;12:00 AM;12:00 AM;1,265,055.75;1,137,210.75;18,022.5
Jan 26, 2015;12:00 AM;12:00 AM;1,581,008;1,351,133.75;16,357.75
Jan 27, 2015;12:00 AM;12:00 AM;1,592,247.25;1,296,978.75;18,182.5
Jan 28, 2015;12:00 AM;12:00 AM;1,613,410.75;1,170,997.5;18,424.75
Jan 29, 2015;12:00 AM;12:00 AM;1,596,585.25;1,151,969.5;22,463.75
Jan 30, 2015;12:00 AM;12:00 AM;1,562,849.25;1,459,030.25;21,740.25
Jan 31, 2015;12:00 AM;12:00 AM;1,345,132.25;1,191,630.75;16,741.5
Feb 1, 2015;12:00 AM;12:00 AM;1,250,357;1,105,608.75;20,213.75
Feb 2, 2015;12:00 AM;12:00 AM;1,592,531;1,374,310;16,677.75
Feb 3, 2015;12:00 AM;12:00 AM;1,620,916.5;1,491,976;18,321.25
Feb 4, 2015;12:00 AM;12:00 AM;1,626,316.25;1,552,732.25;16,670
Feb 5, 2015;12:00 AM;12:00 AM;1,623,523.25;1,475,954.5;15,952.75
