Date,Values
2014-12-31,2148.5
2015-01-01,2904.0
2015-01-02,3245.0
2015-01-03,3247.0
2015-01-04,3217.75
2015-01-05,3246.25
2015-01-06,3265.5
2015-01-07,3004.0
2015-01-08,2994.25
2015-01-09,3190.75
2015-01-10,3252.5
2015-01-11,3156.75
2015-01-12,2135.5
2015-01-13,3017.0
2015-01-14,3321.25
2015-01-15,3271.0
2015-01-16,3225.5
2015-01-17,3364.5
2015-01-18,3308.5
2015-01-19,3259.5
2015-01-20,3344.75
2015-01-21,3343.75
2015-01-22,3329.75
2015-01-23,3314.5
2015-01-24,3198.25
2015-01-25,3306.25
2015-01-26,3150.75
2015-01-27,3223.75
2015-01-28,3091.0
2015-01-29,3310.5
2015-01-30,3370.0
2015-01-31,3440.25
2015-02-01,3406.75
2015-02-02,3382.0
2015-02-03,3332.0
2015-02-04,3410.0
2015-02-05,3428.25
2015-02-06,3102.5
2015-02-07,2788.5
2015-02-08,3144.5
2015-02-09,3334.75
2015-02-10,3273.25
2015-02-11,3394.75
2015-02-12,3379.0
2015-02-13,3372.0
2015-02-14,2814.75
2015-02-15,2775.5
2015-02-16,3039.0
2015-02-17,3252.25
2015-02-18,3225.5
2015-02-19,3012.5
2015-02-20,2371.0
2015-02-21,2413.0
2015-02-22,2442.5
2015-02-23,2429.0
2015-02-24,2425.0
2015-02-25,2465.25
2015-02-26,2534.75
2015-02-27,2506.0
2015-02-28,1912.25
2015-03-01,2168.75
2015-03-02,2540.5
2015-03-03,2737.75
2015-03-04,2936.0
2015-03-05,3095.5
2015-03-06,2186.75
2015-03-07,1923.25
2015-03-08,2207.5
2015-03-09,2192.75
2015-03-10,2015.0
2015-03-11,1408.25
2015-03-12,1415.5
2015-03-13,2242.75
2015-03-14,2839.25
2015-03-15,2345.25
2015-03-16,1952.25
2015-03-17,2098.0
2015-03-18,2419.75
2015-03-19,2666.0
2015-03-20,2649.5
2015-03-21,2493.75
2015-03-22,2808.5
2015-03-23,2599.25
2015-03-24,2286.75
2015-03-25,2087.5
2015-03-26,2426.0
2015-03-27,2473.5
2015-03-28,2040.0
2015-03-29,2327.75
2015-03-30,2204.0
2015-03-31,3137.25
2015-04-01,3325.0
2015-04-02,3565.75
2015-04-03,4124.0
2015-04-04,3492.0
2015-04-05,3630.25
2015-04-06,3547.5
2015-04-07,4011.0
2015-04-08,3866.25
2015-04-09,3326.75
2015-04-10,2842.25
2015-04-11,2859.0
2015-04-12,2959.25
2015-04-13,3077.5
2015-04-14,2914.0
2015-04-15,2677.5
2015-04-16,2439.5
2015-04-17,2500.0
2015-04-18,2491.0
2015-04-19,2937.75
2015-04-20,3155.75
2015-04-21,3207.25
2015-04-22,3208.75
2015-04-23,3240.75
2015-04-24,2924.25
2015-04-25,3017.25
2015-04-26,3276.25
2015-04-27,3335.75
2015-04-28,3179.75
2015-04-29,3295.0
2015-04-30,3011.0
2015-05-01,3059.0
2015-05-02,2803.75
2015-05-03,2826.75
2015-05-04,2742.25
2015-05-05,2815.5
2015-05-06,2802.75
2015-05-07,2821.0
2015-05-08,2520.0
2015-05-09,2519.0
2015-05-10,2512.5
2015-05-11,2454.25
2015-05-12,2482.25
2015-05-13,2527.0
2015-05-14,2550.5
2015-05-15,2533.25
2015-05-16,2540.25
2015-05-17,2464.0
2015-05-18,2465.75
2015-05-19,2471.25
2015-05-20,2456.75
2015-05-21,2554.75
2015-05-22,2564.25
2015-05-23,2555.75
2015-05-24,2537.0
2015-05-25,2546.5
2015-05-26,2561.0
2015-05-27,2541.75
2015-05-28,2467.75
2015-05-29,2419.5
2015-05-30,2425.5
2015-05-31,2300.5
2015-06-01,2288.75
2015-06-02,2241.0
2015-06-03,2241.5
2015-06-04,2225.0
2015-06-05,2249.0
2015-06-06,2212.5
2015-06-07,2268.75
2015-06-08,2524.0
2015-06-09,2868.75
2015-06-10,2838.25
2015-06-11,2813.0
2015-06-12,2541.0
2015-06-13,2542.5
2015-06-14,2721.5
2015-06-15,2784.75
2015-06-16,2840.5
2015-06-17,2750.25
2015-06-18,2833.75
2015-06-19,2880.5
2015-06-20,2687.75
2015-06-21,2707.75
2015-06-22,2973.0
2015-06-23,2963.25
2015-06-24,2955.75
2015-06-25,2849.75
2015-06-26,2661.5
2015-06-27,2610.0
2015-06-28,2707.0
2015-06-29,2714.5
2015-06-30,2297.25
2015-07-01,2279.5
2015-07-02,2505.5
2015-07-03,2100.75
2015-07-04,2085.5
2015-07-05,2195.75
2015-07-06,2176.25
2015-07-07,2249.25
2015-07-08,2310.25
2015-07-09,2404.0
2015-07-10,2289.75
2015-07-11,2247.0
2015-07-12,2385.5
2015-07-13,2420.0
2015-07-14,2282.0
2015-07-15,2345.0
2015-07-16,2332.25
2015-07-17,2179.75
2015-07-18,2167.5
2015-07-19,2366.75
2015-07-20,2401.5
2015-07-21,2438.5
2015-07-22,2480.5
2015-07-23,2490.25
2015-07-24,2227.75
2015-07-25,2257.0
2015-07-26,2330.75
2015-07-27,2241.25
2015-07-28,2257.25
2015-07-29,2258.5
2015-07-30,2346.75
2015-07-31,2253.5
2015-08-01,2204.75
2015-08-02,2170.25
2015-08-03,2221.75
2015-08-04,2237.5
2015-08-05,2194.0
2015-08-06,2131.5
2015-08-07,1988.25
2015-08-08,1889.0
2015-08-09,2162.75
2015-08-10,2212.25
2015-08-11,2155.5
2015-08-12,2162.0
2015-08-13,2186.25
2015-08-14,2076.5
2015-08-15,2041.25
2015-08-16,2113.0
2015-08-17,2130.25
2015-08-18,2127.75
2015-08-19,2116.5
2015-08-20,2105.5
2015-08-21,1810.25
2015-08-22,1799.25
2015-08-23,2208.25
2015-08-24,2250.75
2015-08-25,2253.25
2015-08-26,2248.0
2015-08-27,2160.25
2015-08-28,1778.75
2015-08-29,1765.0
2015-08-30,2014.25
2015-08-31,2036.75
2015-09-01,2013.25
2015-09-02,1994.0
2015-09-03,1965.5
2015-09-04,2003.25
2015-09-05,2009.75
2015-09-06,2103.5
2015-09-07,2122.5
2015-09-08,2141.25
2015-09-09,2228.0
2015-09-10,2242.5
2015-09-11,1992.75
2015-09-12,1896.0
2015-09-13,1970.25
2015-09-14,1954.25
2015-09-15,2008.5
2015-09-16,1982.25
2015-09-17,2053.5
2015-09-18,1937.75
2015-09-19,1958.25
2015-09-20,2221.0
2015-09-21,2207.0
2015-09-22,2357.0
2015-09-23,2208.75
2015-09-24,2304.25
2015-09-25,2308.75
2015-09-26,2266.5
2015-09-27,2490.5
2015-09-28,2490.5
2015-09-29,2464.0
2015-09-30,2031.0
2015-10-01,2097.0
2015-10-02,2099.5
2015-10-03,2076.75
2015-10-04,2025.25
2015-10-05,2003.25
2015-10-06,2049.75
2015-10-07,2102.0
2015-10-08,2198.5
2015-10-09,2172.5
2015-10-10,1942.5
2015-10-11,2175.25
2015-10-12,2210.75
2015-10-13,2230.25
2015-10-14,2245.75
2015-10-15,2269.5
2015-10-16,2260.5
2015-10-17,2230.25
2015-10-18,2101.75
2015-10-19,1965.25
2015-10-20,2233.0
2015-10-21,2357.75
2015-10-22,2325.5
2015-10-23,2240.75
2015-10-24,2313.5
2015-10-25,2352.5
2015-10-26,2310.25
2015-10-27,2263.25
2015-10-28,2277.25
2015-10-29,2271.75
2015-10-30,2272.25
2015-10-31,2346.75
2015-11-01,2612.5
2015-11-02,2898.25
2015-11-03,2919.25
2015-11-04,2694.0
2015-11-05,2402.5
2015-11-06,1882.25
2015-11-07,1791.75
2015-11-08,1851.25
2015-11-09,1696.25
2015-11-10,1966.75
2015-11-11,2043.75
2015-11-12,1768.75
2015-11-13,1654.5
2015-11-14,1546.25
2015-11-15,1799.75
2015-11-16,1801.0
2015-11-17,1753.5
2015-11-18,1706.0
2015-11-19,1842.0
2015-11-20,2624.0
2015-11-21,3023.0
2015-11-22,3053.75
2015-11-23,3100.25
2015-11-24,3061.25
2015-11-25,3104.0
2015-11-26,2998.5
2015-11-27,2450.75
2015-11-28,1908.25
2015-11-29,2040.0
2015-11-30,2741.0
2015-12-01,2958.0
2015-12-02,2974.25
2015-12-03,2280.5
2015-12-04,2496.25
2015-12-05,2349.5
2015-12-06,2806.5
2015-12-07,2744.0
2015-12-08,2748.25
2015-12-09,2980.25
2015-12-10,2090.5
2015-12-11,3219.5
2015-12-12,3556.5
2015-12-13,4180.25
2015-12-14,4156.25
2015-12-15,4144.25
2015-12-16,3788.5
2015-12-17,3614.0
2015-12-18,3639.0
2015-12-19,3474.75
2015-12-20,3321.0
2015-12-21,3370.75
2015-12-22,3257.75
2015-12-23,3547.25
2015-12-24,3130.75
2015-12-25,3012.75
2015-12-26,2985.75
2015-12-27,3632.75
2015-12-28,3976.75
2015-12-29,3880.25
2015-12-30,3811.75
2015-12-31,4380.25
2016-01-01,4113.75
2016-01-02,4203.5
2016-01-03,4298.25
2016-01-04,4408.25
2016-01-05,4343.25
2016-01-06,4361.5
2016-01-07,4139.5
2016-01-08,4397.25
2016-01-09,4243.25
2016-01-10,4383.5
2016-01-11,4419.5
2016-01-12,4483.25
2016-01-13,4525.75
2016-01-14,4523.75
2016-01-15,4514.5
2016-01-16,4546.25
2016-01-17,4554.25
2016-01-18,4546.75
2016-01-19,4548.0
2016-01-20,4567.25
2016-01-21,4514.5
2016-01-22,4490.25
2016-01-23,4512.75
2016-01-24,4462.25
2016-01-25,4200.5
2016-01-26,3991.75
2016-01-27,4249.25
2016-01-28,4444.25
2016-01-29,3636.75
2016-01-30,3542.5
2016-01-31,3701.25
2016-02-01,3367.75
2016-02-02,3705.25
2016-02-03,3960.0
2016-02-04,4542.25
2016-02-05,4157.5
2016-02-06,3321.0
2016-02-07,3420.75
2016-02-08,3716.5
2016-02-09,3906.0
2016-02-10,3876.5
2016-02-11,4378.5
2016-02-12,4378.0
2016-02-13,4100.5
2016-02-14,4344.0
2016-02-15,4351.25
2016-02-16,4349.75
2016-02-17,4380.75
2016-02-18,4370.75
2016-02-19,3505.5
2016-02-20,3034.25
2016-02-21,3626.5
2016-02-22,4341.75
2016-02-23,4396.5
2016-02-24,4410.0
2016-02-25,4472.75
2016-02-26,4522.75
2016-02-27,4520.5
2016-02-28,4503.25
2016-02-29,4696.75
2016-03-01,4590.0
2016-03-02,4590.25
2016-03-03,4696.25
2016-03-04,4775.25
2016-03-05,4773.0
2016-03-06,4777.75
2016-03-07,4755.75
2016-03-08,4681.75
2016-03-09,4675.75
2016-03-10,4773.0
2016-03-11,4758.25
2016-03-12,4807.0
2016-03-13,4734.25
2016-03-14,4740.5
2016-03-15,4618.5
2016-03-16,4497.25
2016-03-17,4672.0
2016-03-18,4691.0
2016-03-19,4744.25
2016-03-20,4430.25
2016-03-21,4701.5
2016-03-22,4690.0
2016-03-23,4777.75
2016-03-24,4694.75
2016-03-25,4368.75
2016-03-26,3668.5
2016-03-27,3782.0
2016-03-28,4101.25
2016-03-29,4268.5
2016-03-30,4290.75
2016-03-31,4374.0
2016-04-01,4251.5
2016-04-02,3857.0
2016-04-03,3770.5
2016-04-04,3753.25
2016-04-05,3887.25
2016-04-06,3916.5
2016-04-07,3934.0
2016-04-08,3879.25
2016-04-09,3970.25
2016-04-10,4025.0
2016-04-11,3951.75
2016-04-12,4044.25
2016-04-13,4107.5
2016-04-14,4127.25
2016-04-15,4069.5
2016-04-16,3821.75
2016-04-17,4061.75
2016-04-18,3989.75
2016-04-19,4129.25
2016-04-20,4061.5
2016-04-21,4018.25
2016-04-22,4078.0
2016-04-23,4192.0
2016-04-24,4204.0
2016-04-25,4094.0
2016-04-26,3884.0
2016-04-27,3943.75
2016-04-28,4176.5
2016-04-29,3919.25
2016-04-30,3762.5
2016-05-01,3848.0
2016-05-02,3628.75
2016-05-03,3917.5
2016-05-04,3888.75
2016-05-05,3681.75
2016-05-06,3513.25
2016-05-07,3492.75
2016-05-08,3557.75
2016-05-09,3567.75
2016-05-10,3615.5
2016-05-11,3495.5
2016-05-12,3570.25
2016-05-13,3554.0
2016-05-14,3529.0
2016-05-15,3700.25
2016-05-16,3930.0
2016-05-17,3708.0
2016-05-18,3693.5
2016-05-19,3546.25
2016-05-20,3460.0
2016-05-21,3431.75
2016-05-22,3609.0
2016-05-23,3493.5
2016-05-24,3502.0
2016-05-25,3607.0
2016-05-26,3655.5
2016-05-27,3476.5
2016-05-28,3472.0
2016-05-29,3592.0
2016-05-30,3624.0
2016-05-31,3543.75
2016-06-01,3623.75
2016-06-02,3509.75
2016-06-03,3170.75
2016-06-04,3197.5
2016-06-05,3168.75
2016-06-06,3172.5
2016-06-07,3180.0
2016-06-08,3170.75
2016-06-09,3150.75
2016-06-10,3207.5
2016-06-11,3184.5
2016-06-12,3160.0
2016-06-13,3158.0
2016-06-14,3120.0
2016-06-15,3061.5
2016-06-16,3095.25
2016-06-17,3146.0
2016-06-18,3208.0
2016-06-19,3162.0
2016-06-20,3129.75
2016-06-21,3054.5
2016-06-22,3018.75
2016-06-23,3016.5
2016-06-24,3037.25
2016-06-25,3083.5
2016-06-26,3041.0
2016-06-27,3002.25
2016-06-28,2992.25
2016-06-29,3002.5
2016-06-30,2580.0
2016-07-01,2605.25
2016-07-02,2616.5
2016-07-03,2583.0
2016-07-04,2565.25
2016-07-05,2585.5
2016-07-06,2576.5
2016-07-07,2557.25
2016-07-08,2546.25
2016-07-09,2551.25
2016-07-10,2544.75
2016-07-11,2548.25
2016-07-12,2561.75
2016-07-13,2549.5
2016-07-14,2620.75
2016-07-15,2651.25
2016-07-16,2595.25
2016-07-17,2552.0
2016-07-18,2590.0
2016-07-19,2601.5
2016-07-20,2574.0
2016-07-21,2666.0
2016-07-22,2656.25
2016-07-23,2663.5
2016-07-24,2668.25
2016-07-25,2671.75
2016-07-26,2668.0
2016-07-27,2698.75
2016-07-28,2683.75
2016-07-29,2659.75
2016-07-30,2684.75
2016-07-31,3047.5
2016-08-01,3083.25
2016-08-02,3062.25
2016-08-03,3025.75
2016-08-04,3160.5
2016-08-05,3066.75
2016-08-06,3152.0
2016-08-07,3136.5
2016-08-08,3043.75
2016-08-09,3055.25
2016-08-10,3095.0
2016-08-11,3066.0
2016-08-12,3039.0
2016-08-13,3020.75
2016-08-14,3035.75
2016-08-15,3042.0
2016-08-16,3036.25
2016-08-17,3049.75
2016-08-18,3044.0
2016-08-19,3051.75
2016-08-20,3088.0
2016-08-21,3104.0
2016-08-22,3079.75
2016-08-23,3079.5
2016-08-24,3078.25
2016-08-25,3059.0
2016-08-26,3047.25
2016-08-27,3005.25
2016-08-28,2985.75
2016-08-29,3070.5
2016-08-30,3029.75
2016-08-31,2863.0
2016-09-01,2871.25
2016-09-02,2895.5
2016-09-03,2928.75
2016-09-04,2971.5
2016-09-05,2964.5
2016-09-06,2933.5
2016-09-07,2926.25
2016-09-08,2907.0
2016-09-09,2924.25
2016-09-10,2896.75
2016-09-11,2916.25
2016-09-12,3122.0
2016-09-13,3121.5
2016-09-14,3128.5
2016-09-15,3311.75
2016-09-16,3381.25
2016-09-17,3337.5
2016-09-18,3714.5
2016-09-19,3645.5
2016-09-20,3845.5
2016-09-21,3775.25
2016-09-22,3696.75
2016-09-23,3603.5
2016-09-24,3459.5
2016-09-25,3670.25
2016-09-26,3463.25
2016-09-27,3157.75
2016-09-28,3267.25
2016-09-29,3462.0
2016-09-30,3646.75
2016-10-01,3620.0
2016-10-02,3804.75
2016-10-03,3875.25
2016-10-04,3888.0
2016-10-05,3838.75
2016-10-06,3906.75
2016-10-07,3956.5
2016-10-08,3979.5
2016-10-09,3984.5
