Date,Temperature,Values
2014-12-31,-1.1,2148.5
2015-01-01,0.4,2904.0
2015-01-02,1.0,3245.0
2015-01-03,0.1,3247.0
2015-01-04,0.2,3217.75
2015-01-05,-0.1,3246.25
2015-01-06,-1.6,3265.5
2015-01-07,-1.4,3004.0
2015-01-08,4.2,2994.25
2015-01-09,5.2,3190.75
2015-01-10,10.8,3252.5
2015-01-11,2.0,3156.75
2015-01-12,3.3,2135.5
2015-01-13,7.1,3017.0
2015-01-14,4.6,3321.25
2015-01-15,1.3,3271.0
2015-01-16,0.5,3225.5
2015-01-17,1.2,3364.5
2015-01-18,0.9,3308.5
2015-01-19,-0.2,3259.5
2015-01-20,-0.6,3344.75
2015-01-21,-0.3,3343.75
2015-01-22,2.3,3329.75
2015-01-23,0.0,3314.5
2015-01-24,-1.5,3198.25
2015-01-25,-0.2,3306.25
2015-01-26,-0.9,3150.75
2015-01-27,-0.3,3223.75
2015-01-28,0.6,3091.0
2015-01-29,-0.3,3310.5
2015-01-30,-1.3,3370.0
2015-01-31,-2.0,3440.25
2015-02-01,-1.2,3406.75
2015-02-02,-2.3,3382.0
2015-02-03,-3.5,3332.0
2015-02-04,-4.5,3410.0
2015-02-05,-4.3,3428.25
2015-02-06,-5.5,3102.5
2015-02-07,-3.2,2788.5
2015-02-08,-2.6,3144.5
2015-02-09,-0.6,3334.75
2015-02-10,1.4,3273.25
2015-02-11,-0.5,3394.75
2015-02-12,-1.2,3379.0
2015-02-13,-1.5,3372.0
2015-02-14,-1.8,2814.75
2015-02-15,1.7,2775.5
2015-02-16,1.8,3039.0
2015-02-17,-0.6,3252.25
2015-02-18,-1.5,3225.5
2015-02-19,-1.2,3012.5
2015-02-20,2.2,2371.0
2015-02-21,0.7,2413.0
2015-02-22,0.6,2442.5
2015-02-23,2.3,2429.0
2015-02-24,2.2,2425.0
2015-02-25,1.1,2465.25
2015-02-26,1.2,2534.75
2015-02-27,0.3,2506.0
2015-02-28,2.1,1912.25
2015-03-01,1.7,2168.75
2015-03-02,2.3,2540.5
2015-03-03,2.3,2737.75
2015-03-04,1.7,2936.0
