Date,Values
2014-12-31,12508.5
2015-01-01,10329.25
2015-01-02,12119.5
2015-01-03,11538.5
2015-01-04,7745.5
2015-01-05,6887.75
2015-01-06,10693.25
2015-01-07,12334.75
2015-01-08,8800.25
2015-01-09,6504.75
2015-01-10,9552.25
2015-01-11,11670.5
2015-01-12,8940.75
2015-01-13,8974.5
2015-01-14,12271.25
2015-01-15,10403.25
2015-01-16,11518.5
2015-01-17,5238.5
2015-01-18,481.25
2015-01-19,1281.75
2015-01-20,2322.25
2015-01-21,1289.0
2015-01-22,4399.0
2015-01-23,11741.25
2015-01-24,8604.25
2015-01-25,14427.25
2015-01-26,11132.25
2015-01-27,13715.0
2015-01-28,10958.25
2015-01-29,1614.75
2015-01-30,1974.5
2015-01-31,6004.0
2015-02-01,8150.75
2015-02-02,7582.25
2015-02-03,2774.25
2015-02-04,5602.0
2015-02-05,1745.25
2015-02-06,13894.5
2015-02-07,15964.0
2015-02-08,17228.25
2015-02-09,10610.0
2015-02-10,760.75
2015-02-11,824.75
2015-02-12,8094.0
2015-02-13,10480.75
2015-02-14,17464.25
2015-02-15,12911.25
2015-02-16,4633.5
2015-02-17,15271.25
2015-02-18,17781.25
2015-02-19,12337.0
2015-02-20,4134.5
2015-02-21,14439.0
2015-02-22,16934.75
2015-02-23,18267.5
2015-02-24,7703.0
2015-02-25,10017.0
2015-02-26,5551.75
2015-02-27,15598.5
2015-02-28,19627.0
2015-03-01,18369.25
2015-03-02,15562.5
2015-03-03,18913.75
2015-03-04,11666.0
2015-03-05,16065.0
2015-03-06,20235.0
2015-03-07,18338.75
2015-03-08,8102.25
2015-03-09,16433.5
2015-03-10,5509.75
2015-03-11,5135.5
2015-03-12,16207.75
2015-03-13,17424.25
2015-03-14,19743.5
2015-03-15,21364.25
2015-03-16,12501.25
2015-03-17,2474.25
2015-03-18,5836.0
2015-03-19,6804.0
2015-03-20,16949.25
2015-03-21,5133.5
2015-03-22,15134.0
2015-03-23,1422.5
2015-03-24,8023.75
2015-03-25,12772.75
2015-03-26,8522.0
2015-03-27,17147.25
2015-03-28,21215.5
2015-03-29,27639.5
2015-03-30,21807.25
2015-03-31,24753.0
2015-04-01,21618.75
2015-04-02,8902.75
2015-04-03,6519.25
2015-04-04,2589.5
2015-04-05,1411.5
2015-04-06,8714.5
2015-04-07,7174.75
2015-04-08,413.75
2015-04-09,1407.0
2015-04-10,18923.0
2015-04-11,27099.0
2015-04-12,19253.5
2015-04-13,24728.0
2015-04-14,25588.0
2015-04-15,11884.0
2015-04-16,15815.25
2015-04-17,8745.0
2015-04-18,5858.0
2015-04-19,5606.25
2015-04-20,18501.25
2015-04-21,19311.5
2015-04-22,5067.25
2015-04-23,4869.75
2015-04-24,23583.0
2015-04-25,3390.5
2015-04-26,7775.25
2015-04-27,14302.5
2015-04-28,23490.0
2015-04-29,11204.5
2015-04-30,4751.25
2015-05-01,3235.75
2015-05-02,25290.0
2015-05-03,24163.75
2015-05-04,33970.25
2015-05-05,33248.75
2015-05-06,24880.25
2015-05-07,5199.25
2015-05-08,33443.5
2015-05-09,19386.75
2015-05-10,25937.0
2015-05-11,21720.25
2015-05-12,30379.0
2015-05-13,11681.0
2015-05-14,3928.0
2015-05-15,17997.75
2015-05-16,21044.75
2015-05-17,17098.25
2015-05-18,18660.0
2015-05-19,11145.5
2015-05-20,7215.0
