;Date;Tot_cons;Res_load;Hydro_pumped
0;Jan 1, 2015;1,096,852.75;768,472.25;25,895.5
1;Jan 2, 2015;1,288,914.75;679,205.75;27,225
2;Jan 3, 2015;1,213,309.5;736,911.75;24,694.25
3;Jan 4, 2015;1,177,896;767,345.5;24,441.75
4;Jan 5, 2015;1,425,927.5;1,172,036.25;25,733.25
5;Jan 6, 2015;1,434,875;1,292,393.25;22,292.75
6;Jan 7, 2015;1,548,897;1,310,490;14,963.5
7;Jan 8, 2015;1,573,448.5;1,131,985.25;20,853.5
8;Jan 9, 2015;1,551,795.5;900,819.75;18,492.75
9;Jan 10, 2015;1,330,121.5;679,079.25;21,915.75
10;Jan 11, 2015;1,245,315.5;595,527.5;23,764.75
11;Jan 12, 2015;1,572,223;927,555.25;22,427
12;Jan 13, 2015;1,557,794.25;989,571;16,859
13;Jan 14, 2015;1,554,254.25;1,127,128;21,317
14;Jan 15, 2015;1,580,828.75;1,014,653.75;23,621
15;Jan 16, 2015;1,534,068.75;1,243,796.25;18,762.75
16;Jan 17, 2015;1,329,000.75;1,173,343.75;21,802.5
17;Jan 18, 2015;1,243,108.75;1,080,346.25;22,811.75
18;Jan 19, 2015;1,559,946;1,502,904.25;16,602.75
19;Jan 20, 2015;1,595,471.5;1,567,507;19,047.25
20;Jan 21, 2015;1,594,371.75;1,524,692.25;20,802
21;Jan 22, 2015;1,605,934;1,529,502.5;20,974
22;Jan 23, 2015;1,580,198;1,537,337;19,837
23;Jan 24, 2015;1,391,848.5;1,228,214.75;19,375.75
24;Jan 25, 2015;1,265,055.75;1,137,210.75;18,022.5
25;Jan 26, 2015;1,581,008;1,351,133.75;16,357.75
26;Jan 27, 2015;1,592,247.25;1,296,978.75;18,182.5
27;Jan 28, 2015;1,613,410.75;1,170,997.5;18,424.75
28;Jan 29, 2015;1,596,585.25;1,151,969.5;22,463.75
29;Jan 30, 2015;1,562,849.25;1,459,030.25;21,740.25
30;Jan 31, 2015;1,345,132.25;1,191,630.75;16,741.5
31;Feb 1, 2015;1,250,357;1,105,608.75;20,213.75
32;Feb 2, 2015;1,592,531;1,374,310;16,677.75
33;Feb 3, 2015;1,620,916.5;1,491,976;18,321.25
34;Feb 4, 2015;1,626,316.25;1,552,732.25;16,670
35;Feb 5, 2015;1,623,523.25;1,475,954.5;15,952.75
36;Feb 6, 2015;1,597,303;1,376,421.25;17,039.5
37;Feb 7, 2015;1,395,147.25;1,083,037.5;18,195
38;Feb 8, 2015;1,281,069;816,470;29,107.5
39;Feb 9, 2015;1,595,861.75;1,192,198.75;21,437.5
40;Feb 10, 2015;1,599,749.5;1,421,897;15,912.5
41;Feb 11, 2015;1,594,669.25;1,539,637.25;14,343.5
42;Feb 12, 2015;1,593,174.5;1,528,941.5;16,199.25
43;Feb 13, 2015;1,562,459;1,406,086.25;14,470
44;Feb 14, 2015;1,347,657.5;1,163,437.75;26,035.25
45;Feb 15, 2015;1,242,427.5;982,093;23,066.25
46;Feb 16, 2015;1,512,297.75;1,242,247.25;19,952.5
47;Feb 17, 2015;1,581,008;1,473,207.75;17,058
48;Feb 18, 2015;1,589,465;1,421,280.5;18,749
49;Feb 19, 2015;1,595,995.75;1,293,574.25;18,613.75
50;Feb 20, 2015;1,557,110.25;1,144,866;22,559
51;Feb 21, 2015;1,335,687.25;1,007,726.25;21,031.75
52;Feb 22, 2015;1,238,835.25;1,037,043.75;17,027.75
53;Feb 23, 2015;1,571,784.25;1,171,808.5;19,723.75
54;Feb 24, 2015;1,584,692.75;1,213,745;22,319.25
